"Category","Fuel","Segment","Euro Standard","Include",
"Buses","CNG","Urban CNG Buses 15 - 18 t","Euro VI D/E",False,
"Buses","CNG","Urban CNG Buses 15 - 18 t","Euro VII",False,
"Buses","CNG","Urban CNG Buses >18 t","Euro VI D/E",False,
"Buses","CNG","Urban CNG Buses >18 t","Euro VII",False,
"Buses","Biodiesel","Urban Biodiesel Buses","Conventional",False,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro I",False,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro II",False,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro III",False,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro IV",False,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro V",False,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro VI A/B/C",False,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro VI D/E",False,
"Buses","Biodiesel","Urban Biodiesel Buses","Euro VII",False,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Conventional",False,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 1",False,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 2",False,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 3",False,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 4",False,
"L-Category","Petrol","Mopeds 2-stroke <50 cm³","Euro 5",False,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Conventional",False,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 1",False,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 2",False,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 3",False,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 4",False,
"L-Category","Petrol","Mopeds 4-stroke <50 cm³","Euro 5",False,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Conventional",False,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 1",False,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 2",False,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 3",False,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 4",False,
"L-Category","Petrol","Motorcycles 2-stroke >50 cm³","Euro 5",False,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Conventional",False,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 1",False,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 2",False,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 3",False,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 4",False,
"L-Category","Petrol","Motorcycles 4-stroke <250 cm³","Euro 5",False,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Conventional",False,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 1",False,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 2",False,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 3",False,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 4",False,
"L-Category","Petrol","Motorcycles 4-stroke 250 - 750 cm³","Euro 5",False,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Conventional",False,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 1",False,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 2",False,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 3",False,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 4",False,
"L-Category","Petrol","Motorcycles 4-stroke >750 cm³","Euro 5",False,
"L-Category","Petrol","Quad & ATVs","Euro 1",False,
"L-Category","Petrol","Quad & ATVs","Euro 2",False,
"L-Category","Petrol","Quad & ATVs","Euro 3",False,
"L-Category","Petrol","Quad & ATVs","Euro 4",False,
"L-Category","Petrol","Quad & ATVs","Euro 5",False,
"L-Category","Diesel","Micro-car","Euro 1",False,
"L-Category","Diesel","Micro-car","Euro 2",False,
"L-Category","Diesel","Micro-car","Euro 3",False,
"L-Category","Diesel","Micro-car","Euro 4",False,
"L-Category","Diesel","Micro-car","Euro 5",False,
