TIPO TECNOLOGIA,2020,2021,2022,2023,2024,2025,Total
Gas Gasolina,0,0,0,0,0,3,0
Gas Convertido,2,0,0,0,0,3,28
Gnv,9,1,3,8,11,37,41
Hibrido Enchufable,2,7,20,11,29,124,75
Electrico,7,18,29,19,135,448,221
Hibrido No Enchufable,56,130,139,192,534,1470,1105
Diesel,1432,1705,1575,1219,1477,2135,26582
Gasolina,4711,5423,4608,3276,5145,6478,97231
