TIPO TECNOLOGIA,2020,2021,2022,2023,2024,2025,Total
Gas Convertido,0,0,0,0,0,2,2
Diesel,0,0,0,0,0,0,9
Hibrido Enchufable,2,1,3,3,1,1,13
Electrico,6,13,5,9,37,110,82
Hibrido No Enchufable,17,21,36,43,64,213,196
Gasolina,2758,3227,2781,1500,2040,2498,58413
